number,value,f1_score,accuracy,roc_auc,precision,recall,f1_std,cv_iteration,params
0,0.7809042545026847,0.7809042545026847,0.8205780309142515,0.8947068142812271,0.7138288403635706,0.8846983602432467,0.09962873798107487,3,"{'penalty': 'elasticnet', 'C': 0.009591214753721695, 'max_iter': 1274, 'tol': 6.582220948312832e-05, 'l1_ratio': 0.10826056394966133}"
1,0.7829358929767434,0.7829358929767434,0.8225081412305908,0.8954296227547295,0.7163855869187691,0.8857677376394012,0.09933553866936791,3,"{'penalty': 'elasticnet', 'C': 0.21956410310260677, 'max_iter': 520, 'tol': 0.00017962160461897637, 'l1_ratio': 0.46663841712083964}"
2,0.7828329193125887,0.7828329193125887,0.8223629971159768,0.8954128267422049,0.7162546725014876,0.8857615742732236,0.09949893352967526,3,"{'penalty': 'elasticnet', 'C': 2.160202238687162, 'max_iter': 1047, 'tol': 0.0006394967977416408, 'l1_ratio': 0.29953003490782826}"
3,0.782787874500967,0.782787874500967,0.8223187332921919,0.8953945271489486,0.7162031682443756,0.8857338383276433,0.09951119394716225,4,"{'penalty': 'l2', 'C': 1.9536008748103817, 'max_iter': 807, 'tol': 0.0008760967870125711}"
4,0.7827872858847916,0.7827872858847916,0.8223238802162868,0.8953936563825243,0.7162055634360097,0.8857245929364708,0.09949610142738853,5,"{'penalty': 'l2', 'C': 0.4459254164062065, 'max_iter': 635, 'tol': 0.0007089552891773732}"
5,0.7829039618564169,0.7829039618564169,0.8224803476274887,0.8954127891058636,0.716345654310932,0.885749246971025,0.0993294499717317,7,"{'penalty': 'elasticnet', 'C': 0.15827413909875435, 'max_iter': 662, 'tol': 4.650653036315254e-05, 'l1_ratio': 0.33710419887858645}"
6,0.7820573218303396,0.7820573218303396,0.8216300700321836,0.8951129075323815,0.715309526959591,0.885317797947269,0.09960111319989669,7,"{'penalty': 'l1', 'C': 0.014361666604711318, 'max_iter': 749, 'tol': 0.0006338412678691838}"
7,0.7828503848325976,0.7828503848325976,0.8223846143306912,0.8954195155345653,0.7162784723505484,0.8857646560417889,0.09947918856161694,8,"{'penalty': 'l1', 'C': 0.8376776952067618, 'max_iter': 757, 'tol': 0.0005535402459951169}"
