number,value,f1_score,accuracy,roc_auc,precision,recall,f1_std,cv_iteration,params
0,0.8322528361041804,0.8322528361041804,0.8737028633467155,0.9585614073411343,0.7641176552070045,0.9195563359741682,0.04452635136498541,1,"{'n_estimators': 193, 'max_depth': 9, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': 'log2'}"
1,0.9679715848692325,0.9679715848692325,0.9780193941685945,0.998170086449079,0.9501763993984483,0.9869301780013039,0.014579884936193482,2,"{'n_estimators': 356, 'max_depth': 28, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': None}"
2,0.8309060148489698,0.8309060148489698,0.8725159760541072,0.9580077289756134,0.7626818552985885,0.9185578423036772,0.04578787001158733,3,"{'n_estimators': 371, 'max_depth': 9, 'min_samples_split': 4, 'min_samples_leaf': 4, 'max_features': 'sqrt'}"
3,0.9763471604258633,0.9763471604258633,0.9837870780825627,0.9994645140420207,0.9587575336481954,0.9949335548419295,0.011892200556259174,4,"{'n_estimators': 480, 'max_depth': 19, 'min_samples_split': 7, 'min_samples_leaf': 3, 'max_features': 'log2'}"
4,0.7671121849674584,0.7671121849674584,0.8220047353372529,0.9088248103511093,0.7057232710149131,0.8522009902283639,0.05540145397547708,5,"{'n_estimators': 363, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 5, 'max_features': None}"
5,0.9647514264823337,0.9647514264823337,0.9755375319616575,0.9986459057635694,0.9398428043834878,0.991753160337067,0.01799605838994055,6,"{'n_estimators': 378, 'max_depth': 16, 'min_samples_split': 8, 'min_samples_leaf': 4, 'max_features': 'log2'}"
6,0.9563143771516205,0.9563143771516205,0.9694589727705868,0.9977587904303081,0.9271190234082723,0.9884587407941772,0.021668501326745682,7,"{'n_estimators': 305, 'max_depth': 15, 'min_samples_split': 4, 'min_samples_leaf': 5, 'max_features': 'sqrt'}"
7,0.9673356389454341,0.9673356389454341,0.9773708790241695,0.9988930012336764,0.9435962310441285,0.9929642991157198,0.01713860733676874,8,"{'n_estimators': 330, 'max_depth': 17, 'min_samples_split': 3, 'min_samples_leaf': 5, 'max_features': 'sqrt'}"
8,0.9312083127300341,0.9312083127300341,0.9510338852467018,0.9937307877099837,0.8917425143250991,0.9763720064723609,0.030265128122180254,9,"{'n_estimators': 260, 'max_depth': 13, 'min_samples_split': 11, 'min_samples_leaf': 5, 'max_features': 'sqrt'}"
9,0.9721620585796636,0.9721620585796636,0.9808162534707744,0.9992422653858598,0.9514927219226718,0.9942401549202762,0.014465633223885497,10,"{'n_estimators': 476, 'max_depth': 18, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt'}"
