number,value,f1_score,accuracy,roc_auc,precision,recall,f1_std,cv_iteration,params
0,0.7828026737164429,0.7828026737164429,0.8223382916927632,0.8954028755145093,0.7162218604448376,0.8857369200107322,0.09949066326821548,1,"{'penalty': 'elasticnet', 'C': 0.3216577765272691, 'max_iter': 1096, 'tol': 0.0005519437934583917, 'l1_ratio': 0.19676014244373685}"
1,0.7819757337272644,0.7819757337272644,0.8215569831664356,0.8950776696200929,0.7152185701461623,0.885256162376517,0.09961334076240334,2,"{'penalty': 'elasticnet', 'C': 0.01573503545078842, 'max_iter': 510, 'tol': 0.0007649883716000228, 'l1_ratio': 0.7602685144400323}"
2,0.7829739020938601,0.7829739020938601,0.8225246115339262,0.8954664921463501,0.7164056290159114,0.8858447820529799,0.0993486605951677,3,"{'penalty': 'l1', 'C': 35.728439139857265, 'max_iter': 704, 'tol': 0.00040059254133519213}"
3,0.782825336811953,0.782825336811953,0.8223537325953848,0.8954050566832338,0.7162438465015137,0.8857615743017156,0.09950386308745049,4,"{'penalty': 'l2', 'C': 59.08222811918305, 'max_iter': 706, 'tol': 0.0007476500273736846}"
4,0.7809442356503782,0.7809442356503782,0.8206089127703581,0.8947140114984995,0.7138787639290073,0.8847199328796332,0.09966521043347223,5,"{'penalty': 'l2', 'C': 0.010705328034449218, 'max_iter': 1059, 'tol': 0.00045509335013255414}"
5,0.7814307186195443,0.7814307186195443,0.8210608160437886,0.8948912753578275,0.7145297963329352,0.8849418211565793,0.09965919208299051,6,"{'penalty': 'l2', 'C': 0.014857484031411353, 'max_iter': 1057, 'tol': 0.000703365075373683}"
6,0.7829733479553856,0.7829733479553856,0.8225297584929896,0.8954593734652678,0.7164163096568675,0.8858201279044572,0.09936056105722306,7,"{'penalty': 'l2', 'C': 6.454986441705065, 'max_iter': 625, 'tol': 0.0003293808477111001}"
7,0.7829246038303793,0.7829246038303793,0.8224700537888356,0.8954617554410156,0.7163503614408974,0.8858170460504153,0.09939103676017774,8,"{'penalty': 'elasticnet', 'C': 1.1722960910865468, 'max_iter': 1143, 'tol': 0.00042637698562306766, 'l1_ratio': 0.6382843690855653}"
8,0.7827994822676919,0.7827994822676919,0.8223279978191417,0.8953984261918596,0.7162131388736045,0.8857461654873812,0.09951499731262604,9,"{'penalty': 'l2', 'C': 13.675830971299344, 'max_iter': 733, 'tol': 0.0008523982578707637}"
9,0.7829775917709609,0.7829775917709609,0.8225369642312277,0.8954595331622329,0.7164225551388497,0.8858170461358919,0.0993545833173989,10,"{'penalty': 'l2', 'C': 29.363955482169217, 'max_iter': 1406, 'tol': 0.00032256290283729606}"
