number,value,f1_score,accuracy,roc_auc,precision,recall,f1_std,cv_iteration,params
0,0.9042661184886932,0.9042661184886932,0.9353202641829516,0.9792430130182463,0.9011937331563343,0.9085420794794343,0.02167362120161542,1,"{'n_estimators': 192, 'max_depth': 3, 'learning_rate': 0.09427244427963166, 'subsample': 0.7992908093843201, 'colsample_bytree': 0.6676803730352336, 'gamma': 1.5523031088158428, 'reg_alpha': 0.5869881566132245, 'reg_lambda': 0.3203076508863141}"
1,0.9760260457523003,0.9760260457523003,0.9838766459964918,0.9983693551882497,0.9708919955449757,0.9812442783573311,0.008313218996684173,2,"{'n_estimators': 479, 'max_depth': 6, 'learning_rate': 0.05434463072511445, 'subsample': 0.6535526238301026, 'colsample_bytree': 0.6836904858694266, 'gamma': 1.6247750658970266, 'reg_alpha': 0.812041992922015, 'reg_lambda': 0.9757888227336123}"
2,0.9466458750851445,0.9466458750851445,0.9637644011825647,0.9943959623203367,0.9366978982189443,0.9574190851197931,0.01431991128035548,3,"{'n_estimators': 185, 'max_depth': 8, 'learning_rate': 0.025010556382112612, 'subsample': 0.6360625141603156, 'colsample_bytree': 0.964585428338064, 'gamma': 2.6518645572742425, 'reg_alpha': 0.910523887472366, 'reg_lambda': 0.644103723937035}"
3,0.9870211175787587,0.9870211175787587,0.991268704037684,0.9995259377375504,0.9808594524920992,0.9932662970778514,0.005558513861150263,4,"{'n_estimators': 176, 'max_depth': 8, 'learning_rate': 0.1751344065103052, 'subsample': 0.8022072113000644, 'colsample_bytree': 0.6337631182335657, 'gamma': 4.301029170048484, 'reg_alpha': 0.4978620637614569, 'reg_lambda': 0.9133905964225993}"
4,0.9899792738452348,0.9899792738452348,0.9932667523120126,0.9997282427812006,0.9846448044747927,0.9953742372331682,0.003995027530172966,5,"{'n_estimators': 437, 'max_depth': 8, 'learning_rate': 0.07308692730263051, 'subsample': 0.7996932613269387, 'colsample_bytree': 0.6386498074478079, 'gamma': 0.6168934450718822, 'reg_alpha': 0.6123246596707492, 'reg_lambda': 0.10623072419571222}"
5,0.987097922522369,0.987097922522369,0.991302673946521,0.9996305096357475,0.9795148945768645,0.9948226078684871,0.00453215035802153,6,"{'n_estimators': 111, 'max_depth': 10, 'learning_rate': 0.09833863005995559, 'subsample': 0.7087546004359407, 'colsample_bytree': 0.7373707778871759, 'gamma': 0.8504164349500226, 'reg_alpha': 0.4491608774595043, 'reg_lambda': 0.2605608230045594}"
6,0.987897946523367,0.987897946523367,0.9918606039643914,0.9996033398364522,0.9815609397652344,0.9943202636652207,0.004904157013610667,7,"{'n_estimators': 244, 'max_depth': 8, 'learning_rate': 0.13839867206455056, 'subsample': 0.8433297014274282, 'colsample_bytree': 0.9995605589517031, 'gamma': 2.772779726697505, 'reg_alpha': 0.3801227748436137, 'reg_lambda': 0.8811164838762607}"
7,0.9916297776714399,0.9916297776714399,0.994374377218338,0.9998382825021439,0.9860833378362636,0.9972417993264194,0.003117759258021501,8,"{'n_estimators': 470, 'max_depth': 10, 'learning_rate': 0.23783727342125796, 'subsample': 0.9249413832963282, 'colsample_bytree': 0.5694345181714191, 'gamma': 0.7439796805799659, 'reg_alpha': 0.8000500169568902, 'reg_lambda': 0.33413228169039866}"
8,0.871136570290069,0.871136570290069,0.9131687954476204,0.9689963255182871,0.8731762756700556,0.8714251709516346,0.024624675856509085,9,"{'n_estimators': 498, 'max_depth': 4, 'learning_rate': 0.011757404566092668, 'subsample': 0.8610897908573967, 'colsample_bytree': 0.7913799229489276, 'gamma': 3.875215629650505, 'reg_alpha': 0.4171923165199479, 'reg_lambda': 0.007741458546063562}"
9,0.9739566338379473,0.9739566338379473,0.9825034381665309,0.997997662189004,0.9695317745352657,0.978442938080916,0.008493550130918293,10,"{'n_estimators': 440, 'max_depth': 5, 'learning_rate': 0.08537760372828682, 'subsample': 0.9467124039837069, 'colsample_bytree': 0.6625762646621384, 'gamma': 4.0505971940652055, 'reg_alpha': 0.205135161770311, 'reg_lambda': 0.011410840602850136}"
10,0.9928125593769276,0.9928125593769276,0.9951711259892448,0.9998898680062224,0.9875421365929588,0.9981416805341823,0.0024948288594314836,11,"{'n_estimators': 338, 'max_depth': 10, 'learning_rate': 0.2883055749891377, 'subsample': 0.5059150185631622, 'colsample_bytree': 0.568428206873383, 'gamma': 0.05932319447448364, 'reg_alpha': 0.038009630139306805, 'reg_lambda': 0.5636360459603342}"
11,0.9926932432487604,0.9926932432487604,0.9950908334774481,0.9998878216344478,0.9874332706008198,0.9980122449722906,0.002693278680617161,12,"{'n_estimators': 349, 'max_depth': 10, 'learning_rate': 0.27954215809207655, 'subsample': 0.5265337466304588, 'colsample_bytree': 0.5016704267798834, 'gamma': 0.0816542484839622, 'reg_alpha': 0.028274030102390497, 'reg_lambda': 0.5487391029933151}"
12,0.992571795896457,0.992571795896457,0.9950105409656512,0.9998832083115589,0.9873947141287892,0.9978057646834068,0.00244932113751222,13,"{'n_estimators': 359, 'max_depth': 10, 'learning_rate': 0.2959731833754065, 'subsample': 0.5009577177608978, 'colsample_bytree': 0.5024397126740813, 'gamma': 0.10563433256708814, 'reg_alpha': 0.0077202901119127615, 'reg_lambda': 0.6106804560088751}"
13,0.9927167046700139,0.9927167046700139,0.9951093625186319,0.999873381304878,0.9877855452699044,0.9976979021852844,0.002523478565925575,14,"{'n_estimators': 333, 'max_depth': 9, 'learning_rate': 0.18277853113731435, 'subsample': 0.5134357289904108, 'colsample_bytree': 0.5030595500631792, 'gamma': 0.02542091352246091, 'reg_alpha': 0.08000586457864178, 'reg_lambda': 0.5130794147484925}"
14,0.9849389799521465,0.9849389799521465,0.9898491736047633,0.99944277147237,0.9776781328604581,0.992332525561852,0.005800709366196283,15,"{'n_estimators': 315, 'max_depth': 9, 'learning_rate': 0.039524746267418455, 'subsample': 0.5795425839012935, 'colsample_bytree': 0.5635137929634935, 'gamma': 1.664524001247742, 'reg_alpha': 0.1637954249395045, 'reg_lambda': 0.7355469601252929}"
15,0.9869372214996451,0.9869372214996451,0.9912203226523705,0.9994708033604941,0.9811593498541912,0.9927855345429855,0.005532538206660487,16,"{'n_estimators': 384, 'max_depth': 7, 'learning_rate': 0.16550204765672696, 'subsample': 0.5814518970375582, 'colsample_bytree': 0.8288387388288793, 'gamma': 3.318836286342531, 'reg_alpha': 0.22185981241617636, 'reg_lambda': 0.42163075592754184}"
16,0.991066526716394,0.991066526716394,0.9939965906564222,0.999802667638336,0.9855716162053109,0.9966254417099253,0.0033375778389864155,17,"{'n_estimators': 272, 'max_depth': 9, 'learning_rate': 0.1511732289124261, 'subsample': 0.571735922225119, 'colsample_bytree': 0.5660120089173285, 'gamma': 1.0186462380335186, 'reg_alpha': 0.12610919556766778, 'reg_lambda': 0.7209360451195433}"
17,0.9867335838875991,0.9867335838875991,0.9910731197140764,0.9995469835968439,0.9802556758458453,0.9933032796112747,0.005181705021509779,18,"{'n_estimators': 394, 'max_depth': 9, 'learning_rate': 0.20128112051198657, 'subsample': 0.6979454891179055, 'colsample_bytree': 0.5852579494038687, 'gamma': 4.765948084083419, 'reg_alpha': 0.29910652225008405, 'reg_lambda': 0.4594733938469667}"
18,0.9481097732999805,0.9481097732999805,0.9649780533801088,0.994069151612614,0.9421519778861498,0.9544574776061845,0.013515581060273198,19,"{'n_estimators': 291, 'max_depth': 6, 'learning_rate': 0.03297152379614276, 'subsample': 0.5399150959397094, 'colsample_bytree': 0.8767236913443113, 'gamma': 2.070958156789176, 'reg_alpha': 0.08712149774186259, 'reg_lambda': 0.7673115576720391}"
19,0.9846673857591953,0.9846673857591953,0.9896865297988158,0.9993159129686372,0.9786316972310148,0.9907854656043908,0.00574313801395962,20,"{'n_estimators': 239, 'max_depth': 7, 'learning_rate': 0.11846484051704377, 'subsample': 0.6248897932173273, 'colsample_bytree': 0.7430780969442942, 'gamma': 0.294529150654657, 'reg_alpha': 0.31822520501379625, 'reg_lambda': 0.5147167120182626}"
20,0.9651764894715447,0.9651764894715447,0.976367217460918,0.997582145238297,0.954478294606148,0.9763935799350202,0.011622832068400969,21,"{'n_estimators': 321, 'max_depth': 9, 'learning_rate': 0.016655065026002877, 'subsample': 0.7164958354132017, 'colsample_bytree': 0.5272349389057112, 'gamma': 1.3297217547579245, 'reg_alpha': 0.26191558807791404, 'reg_lambda': 0.17439693634292885}"
21,0.9921149149608507,0.9921149149608507,0.9947017182592375,0.999854841598734,0.9866601625874759,0.9976331988641078,0.0026269234384114363,22,"{'n_estimators': 329, 'max_depth': 10, 'learning_rate': 0.2645437100750736, 'subsample': 0.5054044079053751, 'colsample_bytree': 0.504500194026868, 'gamma': 0.3326685853175465, 'reg_alpha': 0.02753409195439322, 'reg_lambda': 0.5577314278189226}"
22,0.9924996918099711,0.9924996918099711,0.994960095988235,0.9998837916315534,0.9870529228080072,0.998009175369876,0.0026369164482929006,23,"{'n_estimators': 361, 'max_depth': 10, 'learning_rate': 0.28705644159494004, 'subsample': 0.5468444770628671, 'colsample_bytree': 0.5970552609497451, 'gamma': 0.07406046636941932, 'reg_alpha': 0.09086400820232776, 'reg_lambda': 0.4079452775087269}"
23,0.9932196936523675,0.9932196936523675,0.9954480279973618,0.9998873446444866,0.9885255011866375,0.9979598672437834,0.002417155575838618,24,"{'n_estimators': 401, 'max_depth': 9, 'learning_rate': 0.21100591931629623, 'subsample': 0.6105007667255703, 'colsample_bytree': 0.5358862912908656, 'gamma': 0.00997908501368766, 'reg_alpha': 0.00775492473139619, 'reg_lambda': 0.6038364766656807}"
24,0.9908314713405916,0.9908314713405916,0.993838058820233,0.9997918913692675,0.9851665560239159,0.9965638234339118,0.003450346635964021,25,"{'n_estimators': 399, 'max_depth': 9, 'learning_rate': 0.20345844673719962, 'subsample': 0.6204267601717843, 'colsample_bytree': 0.5397376177826975, 'gamma': 1.0946650757303984, 'reg_alpha': 0.12991100939567946, 'reg_lambda': 0.6498641915632843}"
