number,value,f1_score,accuracy,roc_auc,precision,recall,f1_std,cv_iteration,params
0,0.9561179677178209,0.9561179677178209,0.9703143912213742,0.9958524793903408,0.9478365730941603,0.964809179331357,0.01238358748415588,3,"{'n_estimators': 176, 'max_depth': 7, 'learning_rate': 0.04638179464247007, 'subsample': 0.7606676539306889, 'colsample_bytree': 0.9160374894113419, 'gamma': 4.978798091728098, 'reg_alpha': 0.5845828949299587, 'reg_lambda': 0.899002251069711}"
1,0.7790088961644047,0.7790088961644047,0.8634603943858853,0.9332822178537947,0.85582521303972,0.7174656354992347,0.016997956587281444,3,"{'n_estimators': 134, 'max_depth': 5, 'learning_rate': 0.011505179940747267, 'subsample': 0.6535326097909491, 'colsample_bytree': 0.5349771568024806, 'gamma': 0.9558846480642907, 'reg_alpha': 0.7052017634841928, 'reg_lambda': 0.49709410230527074}"
2,0.9543507347220307,0.9543507347220307,0.9693179399867624,0.993878994713088,0.9513375250438258,0.9575546806857879,0.01250741324904882,3,"{'n_estimators': 483, 'max_depth': 3, 'learning_rate': 0.12475951513597963, 'subsample': 0.8102100311111221, 'colsample_bytree': 0.6490815491442345, 'gamma': 3.0780421260807995, 'reg_alpha': 0.787407747636468, 'reg_lambda': 0.3565699337375805}"
4,0.9146699090866829,0.9146699090866829,0.9427534477519185,0.9863288772045035,0.9174749411277769,0.9129983195601691,0.01875035315789383,5,"{'n_estimators': 226, 'max_depth': 8, 'learning_rate': 0.011688887744532153, 'subsample': 0.8988469545872001, 'colsample_bytree': 0.5852002743664655, 'gamma': 4.960634654670336, 'reg_alpha': 0.9922923592396974, 'reg_lambda': 0.020318172239830345}"
5,0.9829805178509258,0.9829805178509258,0.9885624251254256,0.9991227568519573,0.9776426104990691,0.9883817089456391,0.006403601422685684,6,"{'n_estimators': 360, 'max_depth': 6, 'learning_rate': 0.119527718013466, 'subsample': 0.8562833575504147, 'colsample_bytree': 0.5953210534503394, 'gamma': 3.775219533080583, 'reg_alpha': 0.9682079285262276, 'reg_lambda': 0.7909075717648127}"
