number,value,f1_score,accuracy,roc_auc,precision,recall,f1_std,cv_iteration,params
0,0.7479325905716285,0.7479325905716285,0.8077147001894477,0.8854895770741814,0.6795218094998163,0.8399847981777588,0.03989516707283921,3,"{'n_estimators': 120, 'max_depth': 5, 'min_samples_split': 9, 'min_samples_leaf': 1, 'max_features': None}"
1,0.9793355289362236,0.9793355289362236,0.9858973309361403,0.9995778989881966,0.9640234627940866,0.9953680855772665,0.009523387590465355,3,"{'n_estimators': 437, 'max_depth': 30, 'min_samples_split': 11, 'min_samples_leaf': 3, 'max_features': 'log2'}"
2,0.7641992540679089,0.7641992540679089,0.8183328968662608,0.9085263438071789,0.7019988311118963,0.852096209527299,0.05971828456943561,3,"{'n_estimators': 155, 'max_depth': 6, 'min_samples_split': 6, 'min_samples_leaf': 2, 'max_features': None}"
3,0.9261415915864645,0.9261415915864645,0.9476832114409374,0.9892296279984416,0.8885110442206771,0.9690373698488953,0.027373212618738874,4,"{'n_estimators': 144, 'max_depth': 13, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None}"
4,0.9316760536562407,0.9316760536562407,0.9514775523575589,0.9938881896258952,0.8926295497136781,0.9761747704634555,0.028313961238546546,5,"{'n_estimators': 143, 'max_depth': 13, 'min_samples_split': 11, 'min_samples_leaf': 4, 'max_features': 'log2'}"
5,0.7468899416013248,0.7468899416013248,0.8069910384782046,0.8862116423029911,0.6789328311174968,0.8381480617479647,0.04128188712177875,7,"{'n_estimators': 256, 'max_depth': 5, 'min_samples_split': 7, 'min_samples_leaf': 5, 'max_features': None}"
6,0.9779860356761906,0.9779860356761906,0.9849513199518484,0.9995193102196659,0.9616409481947387,0.995158524374582,0.010313699094494424,7,"{'n_estimators': 147, 'max_depth': 24, 'min_samples_split': 6, 'min_samples_leaf': 4, 'max_features': 'log2'}"
